,  NÚMERO DE INCENDIO,FUENTE,ZONA,PARAJE,MUNICIPIO,COORDENADAS GEOGRÁFICAS NORTE,COORDENADAS GEOGRÁFICAS OESTE,CAUSA,FECHA DE REGISTRO,ESTRATO AFECTADO FORESTAL HOJARASCA,ESTRATO AFECTADO FORESTAL PASTO,ESTRATO AFECTADO FORESTAL ARBUSTO,ESTRATO AFECTADO FORESTAL RENUEVO,ESTRATO AFECTADO NO FORESTAL CULTIVOS,ESTRATO AFECTADO NO FORESTAL PASTIZAL,ESTRATO AFECTADO NO FORESTAL OTROS,SUPERFICIE AFECTADA TOTAL,NÚMERO DE PARTICIPANTES
39,47,OPD BLP,ZI,EL COLLI,ZAPOPAN,"""N 20° 39´ 04.1""""""","""W 103° 28´ 30.0""""""",QUEMA DE BASURA,16/03/2018,,2,0.2,,,,,2.2,39
40,48,OPD BLP,ZI,VILLA FELICIDAD,TALA,"""N 20° 39´ 29.8""""""","""W 103° 40´ 57.6""""""",INTENCIONAL,18/03/2018,,,,,,1.18,,1.18,8
41,49,OPD BLP,ZI,CERRO LA CAMPANA,TLAJOMULCO,"""N 20° 32´ 46.0""""""","""W 103° 30´ 36.7""""""",QUEMA AGRICOLA,18/03/2018,,11,1.73,,,,,12.73,29
42,50,OPD BLP,ZI,VILLA FELICIDAD,TALA,"""N 20° 39´ 38.9""""""","""W 103° 39´ 59.2""""""",INTENCIONAL,19/03/2018,2,1.77,,,,,,3.77,26
43,51,OPD BLP,ZP,EMILIANO ZAPATA,EL ARENAL,"""N 20° 42´ 51.8""""""","""W 103° 37´ 25.5""""""",DESCONOCIDA,19/03/2018,,,,,,1,,1,42
44,52,OPD BLP,ZP,CERRO DEL COLLI,ZAPOPAN,"""N 20° 39´ 25.2""""""","""W 103° 27´ 34.3""""""",INTENCIONAL,19/03/2018,5,5.38,,,,,,10.38,34
45,53,OPD BLP,ZP,VOLCANES,TALA,"""N 20° 34´ 11.0""""""","""W 103° 34´ 09.0""""""",PASEANTES,19/03/2018,0.87,,,,,,,0.87,32
46,54,OPD BLP,ZI,CHORROS DE TALA,TALA,"""N 20° 41´ 18.9""""""","""W 103° 41´ 22.4""""""",DESCONOCIDA,20/03/2018,,,,,,0.2,,0.2,7
47,55,OPD BLP,ZI,LA LOBERA,TALA,"""N 20° 37´ 42.5""""""","""W 103° 41´ 16.5""""""",QUEMA AGRICOLA,20/03/2018,,,,,,7.82,,7.82,8
48,56,OPD BLP,ZP,LA BANDERA,ZAPOPAN,"""N 20° 41´ 23.2""""""","""W 103° 28´ 53.6""""""",DESCONOCIDA,21/03/2018,2,2.57,,,,,,4.57,69
