,geojson,ent_abr,id_dest,nombre
216,"{""type"":""Point"",""coordinates"":[-116.995675055,32.2630502920001]}",B.C.,2150,"Hotel las Rocas, Playas de Rosarito"
217,"{""type"":""Point"",""coordinates"":[-116.965403045,32.2546673430001]}",B.C.,2148,"Las Gaviotas Rosarito Beach, Playas de Rosarito"
218,"{""type"":""Point"",""coordinates"":[-116.629459177,32.5266715920001]}",B.C.,2166,"Rancho el Chale, Tecate"
219,"{""type"":""Point"",""coordinates"":[-109.517544591,23.574399267]}",B.C.S.,27280,"Hotel Punta Colorada, Los Cabos"
220,"{""type"":""Point"",""coordinates"":[-117.043248532,32.303327892]}",B.C.,2160,"Hotel Villas del Mar, Playas de Rosarito"
221,"{""type"":""Point"",""coordinates"":[-116.089012021,30.8223458890001]}",B.C.,11498,"La Cueva del Pirata, San Quintín"
222,"{""type"":""Point"",""coordinates"":[-116.911875705,32.1988981420001]}",B.C.,8036,"Misión Viejo, Playas de Rosarito"
223,"{""type"":""Point"",""coordinates"":[-116.911650186,32.1935337420001]}",B.C.,11425,"Palacio del Mar, Playas de Rosarito"
224,"{""type"":""Point"",""coordinates"":[-115.609699567,32.588834245]}",B.C.,20347,"Hotel Hacienda Mexicali, Mexicali"
225,"{""type"":""Point"",""coordinates"":[-114.013369257,28.0009212750001]}",B.C.,23356,"Hotel la Pinta, San Quintín"
226,"{""type"":""Point"",""coordinates"":[-116.202931631,31.041849051]}",B.C.,17957,"Hotel Paraíso Colonet, Ensenada"
227,"{""type"":""Point"",""coordinates"":[-115.52439713,32.609250606]}",B.C.,20353,"Hotel Zaragoza, Mexicali"
228,"{""type"":""Point"",""coordinates"":[-116.641654097,31.706842217]}",B.C.,18056,"Mini Hotel Naomy, Ensenada"
229,"{""type"":""Point"",""coordinates"":[-116.943568313,32.249603602]}",B.C.,11236,"Bobby's, Playas de Rosarito"
230,"{""type"":""Point"",""coordinates"":[-115.60972812,32.5885130180001]}",B.C.,11294,"Hacienda Mexicali, Mexicali"
231,"{""type"":""Point"",""coordinates"":[-116.888416628,32.13751647]}",B.C.,8047,"Hacienda Plaza del Mar, Playas de Rosarito"
232,"{""type"":""Point"",""coordinates"":[-114.744081869,30.947654433]}",B.C.,10892,"Hotel Aquamarina, Mexicali"
233,"{""type"":""Point"",""coordinates"":[-117.048514537,32.317966939]}",B.C.,9747,"Hotel Castillos del Mar, Playas de Rosarito"
234,"{""type"":""Point"",""coordinates"":[-117.043102972,32.3031839380001]}",B.C.,10908,"Hotel Costas del Sol, Playas de Rosarito"
235,"{""type"":""Point"",""coordinates"":[-117.045632613,32.3111985140001]}",B.C.,10909,"Hotel la Jolla del Mar, Playas de Rosarito"
236,"{""type"":""Point"",""coordinates"":[-117.051254331,32.3272302140001]}",B.C.,9746,"Hotel la Paloma, Playas de Rosarito"
237,"{""type"":""Point"",""coordinates"":[-116.904951917,32.171311109]}",B.C.,11424,"Medio Camino, Playas de Rosarito"
238,"{""type"":""Point"",""coordinates"":[-116.887065986,32.134627385]}",B.C.,8046,"Plaza del Mar, Playas de Rosarito"
239,"{""type"":""Point"",""coordinates"":[-117.054959447,32.335531845]}",B.C.,12929,"Rosarito Beach Hotel, Playas de Rosarito"
240,"{""type"":""Point"",""coordinates"":[-110.018150933,22.9575018360001]}",B.C.S.,27524,"Hotel Rollin Hills, Los Cabos"
241,"{""type"":""Point"",""coordinates"":[-109.517544591,23.574399267]}",B.C.S.,27280,"Hotel Punta Colorada, Los Cabos"
242,"{""type"":""Point"",""coordinates"":[-90.2673796829999,18.649574527]}",Camp.,31051,"Hotel y Restaurante Las Palmas, Escárcega"
243,"{""type"":""Point"",""coordinates"":[-89.3606505559999,18.5013933330001]}",Camp.,31431,"Hotel Campestre, Calakmul"
244,"{""type"":""Point"",""coordinates"":[-90.7071900349999,19.5670219990001]}",Camp.,32456,"Hotel Siho Playa, Seybaplaya"
245,"{""type"":""Point"",""coordinates"":[-90.305950821,19.897486712]}",Camp.,12185,"Acanmul Ecoturismo, Campeche"
246,"{""type"":""Point"",""coordinates"":[-93.8547096999999,16.5354484220001]}",Chis.,6933,"Hotel Hacienda la Valdivana, Cintalapa"
247,"{""type"":""Point"",""coordinates"":[-93.0575248069999,16.1460468440001]}",Chis.,70059,"Auto Hotel California, Villa Corzo"
248,"{""type"":""Point"",""coordinates"":[-93.053617314,16.1429866180001]}",Chis.,70056,"Auto Hotel Capricho, Villa Corzo"
249,"{""type"":""Point"",""coordinates"":[-107.836143888,27.51196687]}",Chih.,93763,"Hotel Posada Barrancas Mirador, Urique"
250,"{""type"":""Point"",""coordinates"":[-107.047502799,25.9565326150001]}",Chih.,84227,"Hotel Cabañas del Mohinora, Guadalupe y Calvo"
251,"{""type"":""Point"",""coordinates"":[-107.847165635,27.4366717030001]}",Chih.,94217,"Hotel Cabañas de Oteviachi, Urique"
252,"{""type"":""Point"",""coordinates"":[-107.228899905,28.453723525]}",Chih.,85565,"Hotel El Indio, Guerrero"
253,"{""type"":""Point"",""coordinates"":[-107.841035887,27.5138686610001]}",Chih.,93326,"Hotel Posada Barrancas, Urique"
